Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
1759508648.684633	0	19.0	8.1007805	45.0	8.0	19.0	8.100780302503825	1007	1007
1759508648.78386	1	40.5	15.777905	91.0	22.0	40.5	15.777905681436547	1053	2060
1759508649.026089	2	54.263157	21.043419	95.0	25.0	54.26315789473684	21.043419036946986	1031	3091
1759508649.109163	3	64.8125	22.62526	122.0	29.0	64.8125	22.62525897641837	1037	4128
1759508649.197751	4	99.36364	40.743706	152.0	34.0	99.36363636363636	40.743706100167906	1093	5221
1759508649.2837892	5	99.0	27.018513	161.0	73.0	99.0	27.018512172212592	1089	6310
1759508649.367389	6	102.3	31.723965	164.0	57.0	102.3	31.723965704180177	1023	7333
1759508649.4578319	7	162.14285	18.395874	185.0	139.0	162.14285714285714	18.39587353906593	1135	8468
1759508649.560396	8	146.14285	15.094262	166.0	126.0	146.14285714285714	15.094261647854047	1023	9491
1759508649.648906	9	144.75	26.361668	200.0	119.0	144.75	26.361667246211876	1158	10649
1759508649.729562	10	171.66667	21.545816	200.0	148.0	171.66666666666666	21.545816814923082	1030	11679
1759508649.8126101	11	179.16667	15.431749	200.0	163.0	179.16666666666666	15.431749378760948	1075	12754
1759508649.897632	12	156.57143	33.927895	200.0	110.0	156.57142857142858	33.9278947300938	1096	13850
1759508649.975096	13	134.375	28.779062	178.0	98.0	134.375	28.779061398871228	1075	14925
1759508650.063324	14	164.85715	37.79807	200.0	105.0	164.85714285714286	37.79806711395466	1154	16079
1759508650.13533	15	148.57143	36.319443	199.0	92.0	148.57142857142858	36.31944439024813	1040	17119
1759508650.230502	16	155.14285	25.418938	200.0	111.0	155.14285714285714	25.418938785472378	1086	18205
1759508650.311363	17	135.75	30.412785	188.0	76.0	135.75	30.41278514046354	1086	19291
1759508650.3900769	18	143.71428	37.980125	200.0	102.0	143.71428571428572	37.980123695406355	1006	20297
1759508650.475034	19	123.44444	48.600666	200.0	59.0	123.44444444444444	48.600665544393785	1111	21408
1759508650.5506	20	92.545456	23.038954	149.0	64.0	92.54545454545455	23.038953718208475	1018	22426
1759508650.642755	21	120.111115	22.022436	159.0	88.0	120.11111111111111	22.022435249558296	1081	23507
1759508650.744467	22	105.5	40.301987	196.0	58.0	105.5	40.30198506277327	1055	24562
1759508650.830891	23	100.5	50.642372	200.0	55.0	100.5	50.64237356206757	1005	25567
1759508650.928419	24	101.72727	33.64275	194.0	65.0	101.72727272727273	33.64275123624407	1119	26686
1759508651.0202901	25	119.888885	38.54707	187.0	64.0	119.88888888888889	38.54706919092393	1079	27765
1759508651.1138859	26	117.666664	44.105934	200.0	75.0	117.66666666666667	44.10593308539491	1059	28824
1759508651.202595	27	128.25	36.7619	200.0	86.0	128.25	36.7619028343202	1026	29850
1759508651.285097	28	146.85715	27.35705	191.0	108.0	146.85714285714286	27.357049608196167	1028	30878
1759508651.3756878	29	123.0	38.265156	194.0	75.0	123.0	38.26515676463671	1107	31985
1759508651.463889	30	122.55556	29.162804	184.0	89.0	122.55555555555556	29.16280397702644	1103	33088
1759508651.549481	31	139.375	25.636583	187.0	109.0	139.375	25.63658274809652	1115	34203
1759508651.646399	32	165.14285	20.14539	194.0	133.0	165.14285714285714	20.145389911686436	1156	35359
1759508651.7440739	33	171.42857	20.077402	200.0	137.0	171.42857142857142	20.077401246583847	1200	36559
1759508651.8320482	34	194.5	8.976822	200.0	175.0	194.5	8.976822006330154	1167	37726
1759508651.926042	35	200.0	0.0	200.0	200.0	200.0	0.0	1200	38926
1759508652.024225	36	200.0	0.0	200.0	200.0	200.0	0.0	1200	40126
1759508652.123261	37	200.0	0.0	200.0	200.0	200.0	0.0	1200	41326
1759508652.224606	38	200.0	0.0	200.0	200.0	200.0	0.0	1200	42526
1759508652.32335	39	200.0	0.0	200.0	200.0	200.0	0.0	1200	43726
1759508652.422924	40	200.0	0.0	200.0	200.0	200.0	0.0	1200	44926
1759508652.5112	41	200.0	0.0	200.0	200.0	200.0	0.0	1200	46126
1759508652.611878	42	200.0	0.0	200.0	200.0	200.0	0.0	1200	47326
1759508652.7108932	43	200.0	0.0	200.0	200.0	200.0	0.0	1200	48526
1759508652.8103511	44	200.0	0.0	200.0	200.0	200.0	0.0	1200	49726
1759508652.913048	45	200.0	0.0	200.0	200.0	200.0	0.0	1200	50926
1759508653.0140421	46	200.0	0.0	200.0	200.0	200.0	0.0	1200	52126
1759508653.108171	47	200.0	0.0	200.0	200.0	200.0	0.0	1200	53326
1759508653.20991	48	200.0	0.0	200.0	200.0	200.0	0.0	1200	54526
1759508653.3030038	49	200.0	0.0	200.0	200.0	200.0	0.0	1200	55726
1759508653.403908	50	200.0	0.0	200.0	200.0	200.0	0.0	1200	56926
1759508653.506459	51	200.0	0.0	200.0	200.0	200.0	0.0	1200	58126
1759508653.603093	52	200.0	0.0	200.0	200.0	200.0	0.0	1200	59326
1759508653.702614	53	200.0	0.0	200.0	200.0	200.0	0.0	1200	60526
1759508653.804172	54	200.0	0.0	200.0	200.0	200.0	0.0	1200	61726
1759508653.894731	55	200.0	0.0	200.0	200.0	200.0	0.0	1200	62926
1759508653.9941719	56	200.0	0.0	200.0	200.0	200.0	0.0	1200	64126
1759508654.0915148	57	200.0	0.0	200.0	200.0	200.0	0.0	1200	65326
1759508654.189213	58	200.0	0.0	200.0	200.0	200.0	0.0	1200	66526
1759508654.284894	59	200.0	0.0	200.0	200.0	200.0	0.0	1200	67726
1759508654.384176	60	200.0	0.0	200.0	200.0	200.0	0.0	1200	68926
1759508654.4692311	61	200.0	0.0	200.0	200.0	200.0	0.0	1200	70126
1759508654.552937	62	200.0	0.0	200.0	200.0	200.0	0.0	1200	71326
1759508654.650435	63	200.0	0.0	200.0	200.0	200.0	0.0	1200	72526
1759508654.745131	64	200.0	0.0	200.0	200.0	200.0	0.0	1200	73726
1759508654.8647308	65	200.0	0.0	200.0	200.0	200.0	0.0	1200	74926
1759508654.961747	66	200.0	0.0	200.0	200.0	200.0	0.0	1200	76126
1759508655.053806	67	200.0	0.0	200.0	200.0	200.0	0.0	1200	77326
1759508655.167763	68	200.0	0.0	200.0	200.0	200.0	0.0	1200	78526
1759508655.254605	69	200.0	0.0	200.0	200.0	200.0	0.0	1200	79726
1759508655.337968	70	200.0	0.0	200.0	200.0	200.0	0.0	1200	80926
1759508655.427791	71	200.0	0.0	200.0	200.0	200.0	0.0	1200	82126
1759508655.520499	72	200.0	0.0	200.0	200.0	200.0	0.0	1200	83326
1759508655.605263	73	200.0	0.0	200.0	200.0	200.0	0.0	1200	84526
1759508655.7008588	74	200.0	0.0	200.0	200.0	200.0	0.0	1200	85726
1759508655.789294	75	200.0	0.0	200.0	200.0	200.0	0.0	1200	86926
1759508655.879502	76	200.0	0.0	200.0	200.0	200.0	0.0	1200	88126
1759508655.961901	77	200.0	0.0	200.0	200.0	200.0	0.0	1200	89326
1759508656.05136	78	200.0	0.0	200.0	200.0	200.0	0.0	1200	90526
1759508656.1429088	79	200.0	0.0	200.0	200.0	200.0	0.0	1200	91726
1759508656.243726	80	200.0	0.0	200.0	200.0	200.0	0.0	1200	92926
1759508656.332059	81	200.0	0.0	200.0	200.0	200.0	0.0	1200	94126
1759508656.422009	82	200.0	0.0	200.0	200.0	200.0	0.0	1200	95326
