Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
1759508633.0001469	0	33.83871	23.729792	109.0	11.0	33.83870967741935	23.729791775106378	1049	1049
1759508633.085143	1	38.73077	19.284426	89.0	15.0	38.73076923076923	19.28442514710869	1007	2056
1759508633.175414	2	59.058823	17.178886	92.0	23.0	59.05882352941177	17.178887823465494	1004	3060
1759508633.273945	3	77.35714	14.390509	97.0	52.0	77.35714285714286	14.39050849323531	1083	4143
1759508633.364481	4	77.69231	36.3432	182.0	39.0	77.6923076923077	36.343202973415316	1010	5153
1759508633.45741	5	94.181816	24.986609	142.0	56.0	94.18181818181819	24.986607983325722	1036	6189
1759508633.55279	6	74.07143	21.897371	117.0	43.0	74.07142857142857	21.89737194183776	1037	7226
1759508633.644449	7	77.15385	38.679844	160.0	36.0	77.15384615384616	38.67984200478064	1003	8229
1759508633.743105	8	68.625	22.772997	109.0	39.0	68.625	22.77299661880272	1098	9327
1759508633.844935	9	69.46667	17.36996	98.0	42.0	69.46666666666667	17.369961299771383	1042	10369
1759508633.9505029	10	76.28571	21.325466	113.0	49.0	76.28571428571429	21.325466236499533	1068	11437
1759508634.051161	11	84.30769	24.891718	141.0	52.0	84.3076923076923	24.891718163600007	1096	12533
1759508634.153179	12	98.27273	35.911736	168.0	63.0	98.27272727272727	35.91173753192657	1081	13614
1759508634.250282	13	90.333336	23.267765	136.0	59.0	90.33333333333333	23.26776501705501	1084	14698
1759508634.345734	14	110.5	26.158173	164.0	77.0	110.5	26.158172719056658	1105	15803
1759508634.444451	15	116.22222	33.1789	197.0	86.0	116.22222222222223	33.17890152149163	1046	16849
1759508634.5399392	16	92.36364	29.323502	163.0	56.0	92.36363636363636	29.323501983819074	1016	17865
1759508634.639723	17	130.125	32.92202	200.0	82.0	130.125	32.92201960694392	1041	18906
1759508634.744141	18	176.16667	19.810911	200.0	147.0	176.16666666666666	19.810911695886745	1057	19963
1759508634.845939	19	149.85715	25.396446	200.0	120.0	149.85714285714286	25.396448409900444	1049	21012
1759508634.94211	20	144.28572	30.292452	189.0	99.0	144.28571428571428	30.292452080695355	1010	22022
1759508635.043967	21	134.625	31.99585	200.0	101.0	134.625	31.99584934018786	1077	23099
1759508635.149782	22	115.5	32.438404	172.0	72.0	115.5	32.438403166617185	1155	24254
1759508635.2444758	23	103.1	21.435719	139.0	72.0	103.1	21.43571785595248	1031	25285
1759508635.3384051	24	102.8	27.17646	169.0	68.0	102.8	27.176460402340847	1028	26313
1759508635.4344032	25	126.125	35.54025	200.0	90.0	126.125	35.5402500694635	1009	27322
1759508635.5329332	26	148.42857	27.118034	190.0	116.0	148.42857142857142	27.1180337617247	1039	28361
1759508635.6416728	27	182.33333	14.441452	200.0	160.0	182.33333333333334	14.44145268162298	1094	29455
1759508635.755002	28	194.83333	7.4479675	200.0	182.0	194.83333333333334	7.4479676571681095	1169	30624
1759508635.8669922	29	200.0	0.0	200.0	200.0	200.0	0.0	1200	31824
1759508635.983878	30	200.0	0.0	200.0	200.0	200.0	0.0	1200	33024
1759508636.103563	31	200.0	0.0	200.0	200.0	200.0	0.0	1200	34224
1759508636.2132869	32	200.0	0.0	200.0	200.0	200.0	0.0	1200	35424
1759508636.328799	33	200.0	0.0	200.0	200.0	200.0	0.0	1200	36624
1759508636.447885	34	200.0	0.0	200.0	200.0	200.0	0.0	1200	37824
1759508636.565398	35	199.0	2.236068	200.0	194.0	199.0	2.23606797749979	1194	39018
1759508636.680309	36	195.16667	6.890009	200.0	182.0	195.16666666666666	6.890008869531463	1171	40189
1759508636.789807	37	163.28572	8.048323	172.0	148.0	163.28571428571428	8.048323440573299	1143	41332
1759508636.893735	38	136.875	7.7691298	147.0	122.0	136.875	7.769129616630167	1095	42427
1759508636.99475	39	133.5	9.340771	149.0	122.0	133.5	9.340770846134703	1068	43495
1759508637.089972	40	114.44444	9.322746	127.0	97.0	114.44444444444444	9.322745317068014	1030	44525
1759508637.183545	41	87.5	12.433154	111.0	65.0	87.5	12.433154601038842	1050	45575
1759508637.2789629	42	70.73333	7.2798047	82.0	55.0	70.73333333333333	7.279804637183306	1061	46636
1759508637.3718882	43	69.26667	10.240225	82.0	54.0	69.26666666666667	10.240225691957294	1039	47675
1759508637.4650939	44	80.92308	9.400994	96.0	65.0	80.92307692307692	9.400994533816732	1052	48727
1759508637.560012	45	89.083336	10.037085	106.0	75.0	89.08333333333333	10.037084016563554	1069	49796
1759508637.6570911	46	96.0	11.954459	121.0	84.0	96.0	11.954459038747462	1056	50852
1759508637.752723	47	102.8	3.9698865	110.0	95.0	102.8	3.9698866482558417	1028	51880
1759508637.849519	48	115.22222	11.6024685	132.0	100.0	115.22222222222223	11.602468873072544	1037	52917
1759508637.959601	49	136.375	17.17511	156.0	108.0	136.375	17.175109169958716	1091	54008
1759508638.059372	50	153.0	15.399444	177.0	126.0	153.0	15.399443403670704	1071	55079
1759508638.165534	51	158.71428	21.7959	186.0	131.0	158.71428571428572	21.79589925857146	1111	56190
1759508638.274359	52	163.0	18.0	189.0	138.0	163.0	18.0	1141	57331
1759508638.376804	53	175.0	15.811388	200.0	148.0	175.0	15.811388300841896	1050	58381
1759508638.482708	54	179.66667	19.447935	200.0	143.0	179.66666666666666	19.44793619441976	1078	59459
1759508638.592748	55	163.42857	24.188883	200.0	137.0	163.42857142857142	24.1888825871789	1144	60603
1759508638.701223	56	158.85715	21.336948	200.0	133.0	158.85714285714286	21.336946972855536	1112	61715
1759508638.807606	57	159.57143	33.435898	200.0	117.0	159.57142857142858	33.435896633311174	1117	62832
1759508638.906316	58	146.0	35.95632	200.0	106.0	146.0	35.95632271043777	1022	63854
1759508639.011723	59	137.75	34.076202	200.0	101.0	137.75	34.07620137280563	1102	64956
1759508639.102387	60	143.42857	39.092773	200.0	96.0	143.42857142857142	39.092772963288034	1004	65960
1759508639.205903	61	155.57143	34.821407	200.0	106.0	155.57142857142858	34.82141025640544	1089	67049
1759508639.3069792	62	121.0	10.381608	137.0	106.0	121.0	10.381607668264957	1089	68138
1759508639.4112399	63	136.625	29.744484	192.0	93.0	136.625	29.74448478289715	1093	69231
1759508639.5087192	64	128.375	44.302757	192.0	83.0	128.375	44.302758096985336	1027	70258
1759508639.612774	65	123.0	28.7054	192.0	86.0	123.0	28.705400188814647	1107	71365
1759508639.7121038	66	118.0	30.829279	174.0	86.0	118.0	30.82927901272497	1062	72427
1759508639.80833	67	145.0	29.413311	200.0	106.0	145.0	29.41331088372843	1015	73442
1759508639.9142778	68	156.85715	37.665554	200.0	102.0	156.85714285714286	37.665552930376855	1098	74540
1759508640.0215292	69	126.111115	33.725838	200.0	93.0	126.11111111111111	33.725837258182814	1135	75675
1759508640.117206	70	122.111115	24.080626	171.0	89.0	122.11111111111111	24.080625889080967	1099	76774
1759508640.207262	71	161.42857	37.477066	200.0	100.0	161.42857142857142	37.47706781813243	1130	77904
1759508640.295891	72	125.125	35.945923	199.0	89.0	125.125	35.94592292597312	1001	78905
1759508640.377387	73	147.85715	41.46058	200.0	83.0	147.85714285714286	41.46057876871396	1035	79940
1759508640.462226	74	152.14285	35.028267	200.0	87.0	152.14285714285714	35.02826846757822	1065	81005
1759508640.5401568	75	126.625	30.215631	173.0	84.0	126.625	30.215631302357394	1013	82018
1759508640.6250088	76	115.888885	32.264343	200.0	89.0	115.88888888888889	32.26434028956717	1043	83061
1759508640.708781	77	149.42857	30.29784	200.0	118.0	149.42857142857142	30.297841237841837	1046	84107
1759508640.79149	78	145.85715	28.352016	200.0	109.0	145.85714285714286	28.3520146496484	1021	85128
1759508640.871843	79	146.71428	30.344284	181.0	93.0	146.71428571428572	30.34428299044289	1027	86155
1759508640.9502451	80	143.14285	37.5554	200.0	104.0	143.14285714285714	37.55540125288646	1002	87157
1759508641.0348	81	133.625	39.31265	200.0	97.0	133.625	39.31264904582239	1069	88226
1759508641.125875	82	154.0	35.006123	200.0	102.0	154.0	35.00612191358208	1078	89304
1759508641.210389	83	136.75	32.06926	200.0	96.0	136.75	32.06926098306601	1094	90398
1759508641.296074	84	151.85715	28.195381	184.0	104.0	151.85714285714286	28.1953824559401	1063	91461
1759508641.3773508	85	119.666664	34.6346	187.0	91.0	119.66666666666667	34.63460055429477	1077	92538
1759508641.466101	86	131.375	25.903366	169.0	100.0	131.375	25.903366094004078	1051	93589
