Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
1759510134.224809	0	28.666666	15.702087	65.0	9.0	28.666666666666668	15.702087617751836	1032	1032
1759510134.311894	1	41.958332	17.171875	83.0	13.0	41.958333333333336	17.171874210140512	1007	2039
1759510134.401711	2	76.28571	23.977455	112.0	33.0	76.28571428571429	23.977455397663423	1068	3107
1759510134.490904	3	77.5	19.685926	115.0	54.0	77.5	19.685926807892848	1085	4192
1759510134.5818949	4	106.4	56.100266	188.0	37.0	106.4	56.100267379041966	1064	5256
1759510134.675424	5	100.818184	27.385525	154.0	59.0	100.81818181818181	27.385524317579907	1109	6365
1759510134.775285	6	166.85715	32.908657	200.0	119.0	166.85714285714286	32.908655272385936	1168	7533
1759510134.874571	7	190.33333	18.660713	200.0	149.0	190.33333333333334	18.660713336371206	1142	8675
1759510134.95774	8	169.83333	25.835484	200.0	130.0	169.83333333333334	25.835483781462703	1019	9694
1759510135.048952	9	156.28572	30.438295	200.0	124.0	156.28571428571428	30.43829489177026	1094	10788
1759510135.138113	10	176.66667	34.320385	200.0	103.0	176.66666666666666	34.32038590821625	1060	11848
1759510135.2417889	11	200.0	0.0	200.0	200.0	200.0	0.0	1200	13048
1759510135.346415	12	200.0	0.0	200.0	200.0	200.0	0.0	1200	14248
1759510135.441656	13	200.0	0.0	200.0	200.0	200.0	0.0	1200	15448
1759510135.546274	14	200.0	0.0	200.0	200.0	200.0	0.0	1200	16648
1759510135.648795	15	200.0	0.0	200.0	200.0	200.0	0.0	1200	17848
1759510135.7892601	16	200.0	0.0	200.0	200.0	200.0	0.0	1200	19048
1759510136.0772438	17	198.16667	4.0994577	200.0	189.0	198.16666666666666	4.099457958749614	1189	20237
1759510136.272183	18	200.0	0.0	200.0	200.0	200.0	0.0	1200	21437
1759510136.3717482	19	200.0	0.0	200.0	200.0	200.0	0.0	1200	22637
1759510136.487752	20	200.0	0.0	200.0	200.0	200.0	0.0	1200	23837
1759510136.5989609	21	200.0	0.0	200.0	200.0	200.0	0.0	1200	25037
1759510136.70442	22	200.0	0.0	200.0	200.0	200.0	0.0	1200	26237
1759510136.811905	23	200.0	0.0	200.0	200.0	200.0	0.0	1200	27437
1759510136.9205399	24	200.0	0.0	200.0	200.0	200.0	0.0	1200	28637
1759510137.0416	25	200.0	0.0	200.0	200.0	200.0	0.0	1200	29837
1759510137.148583	26	200.0	0.0	200.0	200.0	200.0	0.0	1200	31037
1759510137.2544708	27	200.0	0.0	200.0	200.0	200.0	0.0	1200	32237
1759510137.432022	28	200.0	0.0	200.0	200.0	200.0	0.0	1200	33437
1759510137.5756521	29	200.0	0.0	200.0	200.0	200.0	0.0	1200	34637
1759510137.677988	30	200.0	0.0	200.0	200.0	200.0	0.0	1200	35837
1759510137.78302	31	200.0	0.0	200.0	200.0	200.0	0.0	1200	37037
1759510137.884872	32	200.0	0.0	200.0	200.0	200.0	0.0	1200	38237
1759510137.999578	33	200.0	0.0	200.0	200.0	200.0	0.0	1200	39437
1759510138.098648	34	200.0	0.0	200.0	200.0	200.0	0.0	1200	40637
