Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
1759509090.083717	0	-256.70834	114.58358	-27.549927	-551.8834	84.51666666666667	15.400748538806665	5071	5071
1759509090.741236	1	-183.74039	51.8364	-73.06491	-414.732	72.55072463768116	15.105941082787242	5006	10077
1759509091.7370071	2	-205.1576	58.709393	-44.28706	-384.79913	71.6	12.81115585283835	5012	15089
1759509092.5979111	3	-192.10095	55.521935	-42.675087	-412.22046	72.89855072463769	14.012566748640598	5030	20119
1759509093.3071702	4	-170.00085	33.750423	-111.71781	-341.01578	71.95714285714286	11.392272712282672	5037	25156
1759509093.897072	5	-158.17444	37.52735	-0.2217331	-238.23373	71.40845070422536	12.574933107977362	5070	30226
1759509094.4941592	6	-166.226	36.642628	-97.77621	-248.71956	73.8529411764706	13.907535733299785	5022	35248
1759509095.109685	7	-152.66064	51.4937	-35.60701	-324.55692	78.07692307692308	17.466722375206643	5075	40323
1759509095.76594	8	-158.22336	59.794735	-23.42279	-348.3871	84.88135593220339	26.36001385365413	5008	45331
1759509096.8189492	9	-152.23698	76.34745	56.518967	-332.93613	102.93877551020408	132.26849751635993	5044	50375
1759509098.663108	10	-195.27596	104.85867	-10.576942	-435.08633	142.92105263157896	180.24024633497362	5431	55806
1759509099.578889	11	-151.4552	150.19832	231.9036	-495.71893	108.73913043478261	51.61244995684863	5002	60808
1759509100.595983	12	-164.17989	128.00491	194.63174	-475.38428	120.35714285714286	77.25647497245825	5055	65863
1759509101.452818	13	-191.70718	116.667854	189.03116	-455.3027	108.71739130434783	57.04485765166791	5001	70864
1759509102.2055502	14	-165.78168	107.23561	12.813774	-387.5406	104.29166666666667	40.66322987526801	5006	75870
1759509102.9835362	15	-160.76154	114.157845	194.41872	-434.46536	103.3061224489796	47.88344866854485	5062	80932
1759509103.714201	16	-129.06737	77.93662	229.29558	-249.41898	95.83018867924528	30.36118167651893	5079	86011
1759509104.385535	17	-117.60824	52.586926	-1.8350601	-246.19763	85.40677966101696	15.842571529908401	5039	91050
1759509105.049021	18	-108.98856	60.203304	-1.10672	-364.48047	81.51612903225806	12.397634966296765	5054	96104
1759509105.775378	19	-114.43404	61.204655	-4.0454025	-280.5451	78.75	13.383758814324173	5040	101144
1759509106.6141398	20	-121.63851	56.030815	-18.89853	-334.4084	73.79411764705883	10.038981117051277	5018	106162
1759509107.230098	21	-130.03964	49.275036	-44.84812	-346.3201	73.79411764705883	12.161364599720528	5018	111180
1759509107.8457081	22	-117.90953	54.51347	170.57434	-244.10228	76.01515151515152	24.78115879126013	5017	116197
1759509108.469194	23	-135.49231	47.914127	-48.152664	-323.9176	76.87878787878788	11.781489270879684	5074	121271
1759509109.094395	24	-128.4378	42.946903	-48.57772	-245.47289	73.66176470588235	12.542410752086235	5009	126280
1759509109.696231	25	-138.47218	49.59721	-56.34116	-337.08768	75.46268656716418	12.554749779907532	5056	131336
1759509110.307727	26	-125.65861	58.180798	-37.300037	-248.30923	79.5079365079365	15.599016061636927	5009	136345
1759509110.943187	27	-128.497	50.48708	-38.291363	-225.05583	80.12698412698413	13.859260915601965	5048	141393
1759509111.814702	28	-118.21282	42.455685	-43.110165	-221.2492	77.33846153846154	17.1475738791477	5027	146420
1759509112.456655	29	-119.28114	49.578644	-30.867409	-239.63757	78.58461538461539	15.944994206229314	5108	151528
1759509113.089932	30	-120.8137	64.510826	-14.879776	-367.7854	81.09677419354838	15.63980620024652	5028	156556
1759509113.746849	31	-104.09979	49.379173	-29.331398	-242.4739	77.76923076923077	11.678737063924507	5055	161611
1759509114.471644	32	-93.64437	60.182228	208.38889	-226.35115	79.74603174603175	18.182468666070704	5024	166635
1759509115.131376	33	-99.288086	60.43701	211.03796	-220.33484	78.71875	19.297400043464403	5038	171673
1759509115.985882	34	-105.44564	60.881344	199.11404	-302.13916	79.55555555555556	19.821247039860218	5012	176685
1759509116.8494809	35	-119.20096	59.97719	-11.541214	-343.75592	78.796875	11.490729534471473	5043	181728
1759509117.9045382	36	-125.23913	37.820694	-42.340797	-201.74731	74.11764705882354	12.740081969175664	5040	186768
1759509118.596224	37	-124.89074	45.021698	-41.920242	-329.68512	74.36764705882354	11.80092769504448	5057	191825
1759509119.245617	38	-112.19401	50.375637	-2.539688	-305.54468	77.61538461538461	12.160076299978623	5045	196870
1759509119.929228	39	-119.2961	68.30567	-5.8061523	-337.83325	80.0952380952381	13.189358728667191	5046	201916
1759509120.6251352	40	-115.6686	74.87448	-12.524994	-348.22552	83.68333333333334	11.917062930474476	5021	206937
1759509121.361503	41	-116.30432	85.55041	3.7182312	-367.5423	85.96610169491525	11.931962632393908	5072	212009
1759509122.135927	42	-149.24474	115.84991	10.368263	-530.24176	93.5	15.395706472188204	5049	217058
1759509123.005325	43	-143.34442	125.23621	10.082146	-486.65082	102.79591836734694	18.24546864833616	5037	222095
1759509124.815064	44	-150.59866	150.7252	220.78894	-492.42685	122.39024390243902	27.833019562909307	5018	227113
1759509126.9530098	45	-125.65415	150.61342	229.68295	-380.7729	116.86046511627907	32.181593320108874	5025	232138
1759509128.21583	46	-165.23485	121.594215	5.7116547	-403.9456	109.17391304347827	20.603191339783816	5022	237160
1759509129.1604888	47	-163.4535	153.69913	217.91061	-512.4804	117.53488372093024	33.016802513906356	5054	242214
1759509130.042051	48	-194.73088	146.81851	219.46945	-578.2529	108.76595744680851	30.862228354040035	5112	247326
1759509131.098069	49	-87.39357	173.29404	228.9613	-378.75125	125.725	41.59025576983147	5029	252355
1759509132.011979	50	-172.34648	161.18364	199.54567	-681.89233	114.72727272727273	33.93802080555593	5048	257403
