Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
1759532321.277545	0	-188.40082	79.738	-22.388306	-412.7902	86.75862068965517	17.822216225850006	5032	5032
1759532326.1375308	1	-302.81033	145.10045	-21.000404	-721.43884	128.82051282051282	41.38987352609628	5024	10056
1759532337.411527	2	-309.9155	170.13068	10.264488	-725.0911	179.46428571428572	167.2232216749424	5025	15081
1759532343.046289	3	-190.57805	100.47879	-33.527702	-509.08835	141.22222222222223	50.99297942479223	5084	20165
1759532353.17952	4	-121.25265	87.55844	37.8462	-432.03317	144.74285714285713	149.51203350655527	5066	25231
1759532361.570657	5	-107.23774	51.951176	-25.700417	-282.00143	105.83333333333333	22.534541387735306	5080	30311
1759532367.00496	6	-108.525	41.808926	-33.93361	-275.2418	87.98245614035088	12.486471595881	5015	35326
1759532372.072286	7	-114.442116	31.419754	-32.6606	-220.79236	84.31666666666666	12.69184996584641	5059	40385
1759532380.332161	8	-108.7925	48.27121	-44.174805	-306.73462	81.04838709677419	11.979050825873715	5025	45410
1759532385.729991	9	-89.01219	64.181465	-8.158585	-356.31226	96.96153846153847	30.57271378864439	5042	50452
1759532397.2254431	10	-38.71289	94.387436	168.59781	-295.69336	204.42307692307693	253.0387889202461	5315	55767
1759532416.33146	11	-156.23695	205.81866	70.28566	-648.1817	275.36842105263156	315.0642725617669	5232	60999
1759532438.322155	12	-129.63521	155.19473	100.51951	-431.586	257.5	313.2585992435004	5150	66149
1759532449.670183	13	-58.91512	89.90236	179.57248	-434.34818	149.55882352941177	151.99152282407275	5085	71234
1759532458.937124	14	-53.549076	38.870213	65.51114	-200.29912	115.86363636363636	135.5290292468556	5098	76332
1759532465.5999749	15	-65.77995	45.807026	23.842033	-238.0343	115.56818181818181	135.6218669897488	5085	81417
1759532472.756267	16	-47.193306	45.672737	205.39236	-97.69034	107.51063829787235	33.62298627391022	5053	86470
1759532484.208243	17	-47.176224	81.4702	211.4744	-263.87396	135.3783783783784	76.45572870246151	5009	91479
1759532493.278929	18	-49.600662	76.3698	182.1776	-153.65253	140.80555555555554	94.63433116899208	5069	96548
1759532500.643772	19	-66.19862	48.85488	3.4473095	-268.46042	126.975	18.185828961034467	5079	101627
1759532512.318208	20	-33.425507	96.126755	212.65366	-231.87354	165.09677419354838	107.27244628295588	5118	106745
1759532521.227921	21	-66.51532	82.08303	198.7981	-215.95471	147.35294117647058	54.678139708092814	5010	111755
1759532530.7309282	22	-37.18181	94.994385	191.3542	-267.01355	172.58620689655172	81.51560766202333	5005	116760
1759532544.4744298	23	-47.94326	100.81232	180.69003	-283.89795	175.7	85.56134251712822	5271	122031
1759532561.776895	24	-37.798862	102.36846	198.01628	-173.74634	189.92592592592592	90.49204013528684	5128	127159
1759532578.575063	25	-48.703636	85.08319	178.18437	-139.37738	232.13636363636363	248.2114742521248	5107	132266
1759532594.175364	26	-66.74082	81.52715	140.81276	-278.96295	168.38709677419354	110.6898245226796	5220	137486
1759532600.290999	27	-69.02764	105.906235	195.96326	-269.71085	182.14285714285714	112.19298242814678	5100	142586
1759532608.3325949	28	-70.22594	118.34047	208.1576	-242.3828	176.06896551724137	112.54422304280729	5106	147692
1759532631.308098	29	-44.10303	114.14999	178.55365	-224.53125	381.8666666666667	380.35840408167076	5728	153420
1759532647.964512	30	-36.71677	147.36835	219.90019	-302.2889	154.96969696969697	87.96434706432844	5114	158534
1759532657.138253	31	-95.51603	116.61977	232.97983	-284.44678	144.94285714285715	89.02100646384949	5073	163607
1759532667.215343	32	-62.87969	132.13397	215.31299	-284.8554	148.38235294117646	106.1026181153616	5045	168652
