Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
1759531346.38609	0	27.378378	12.179627	61.0	9.0	27.37837837837838	12.17962709976222	1013	1013
1759531346.629602	1	55.105263	20.424171	108.0	27.0	55.10526315789474	20.424172306471373	1047	2060
1759531347.165859	2	69.6875	25.672745	133.0	33.0	69.6875	25.67274515415132	1115	3175
1759531347.474962	3	67.066666	27.94391	144.0	34.0	67.06666666666666	27.943912077986187	1006	4181
1759531347.742763	4	94.72727	36.461914	169.0	27.0	94.72727272727273	36.461912653893584	1042	5223
1759531347.958982	5	178.66667	17.996914	200.0	153.0	178.66666666666666	17.996913315590785	1072	6295
1759531348.1818628	6	193.0	15.652476	200.0	158.0	193.0	15.652475842498529	1158	7453
1759531348.40708	7	186.5	30.186918	200.0	119.0	186.5	30.18691769624716	1119	8572
1759531348.654432	8	200.0	0.0	200.0	200.0	200.0	0.0	1200	9772
1759531348.883574	9	200.0	0.0	200.0	200.0	200.0	0.0	1200	10972
1759531349.106576	10	200.0	0.0	200.0	200.0	200.0	0.0	1200	12172
1759531349.380917	11	200.0	0.0	200.0	200.0	200.0	0.0	1200	13372
1759531349.598859	12	195.5	6.5255904	200.0	184.0	195.5	6.525590650150631	1173	14545
1759531349.816101	13	200.0	0.0	200.0	200.0	200.0	0.0	1200	15745
1759531350.044672	14	200.0	0.0	200.0	200.0	200.0	0.0	1200	16945
1759531350.333811	15	200.0	0.0	200.0	200.0	200.0	0.0	1200	18145
1759531350.6244211	16	200.0	0.0	200.0	200.0	200.0	0.0	1200	19345
1759531350.8739	17	200.0	0.0	200.0	200.0	200.0	0.0	1200	20545
1759531351.1057951	18	200.0	0.0	200.0	200.0	200.0	0.0	1200	21745
1759531351.3741162	19	200.0	0.0	200.0	200.0	200.0	0.0	1200	22945
1759531351.618987	20	200.0	0.0	200.0	200.0	200.0	0.0	1200	24145
1759531351.833575	21	200.0	0.0	200.0	200.0	200.0	0.0	1200	25345
1759531352.027912	22	200.0	0.0	200.0	200.0	200.0	0.0	1200	26545
1759531352.221768	23	200.0	0.0	200.0	200.0	200.0	0.0	1200	27745
1759531352.406115	24	200.0	0.0	200.0	200.0	200.0	0.0	1200	28945
1759531352.591351	25	200.0	0.0	200.0	200.0	200.0	0.0	1200	30145
1759531352.753632	26	200.0	0.0	200.0	200.0	200.0	0.0	1200	31345
1759531352.9131908	27	200.0	0.0	200.0	200.0	200.0	0.0	1200	32545
1759531353.066926	28	200.0	0.0	200.0	200.0	200.0	0.0	1200	33745
1759531353.2177012	29	200.0	0.0	200.0	200.0	200.0	0.0	1200	34945
1759531353.350822	30	200.0	0.0	200.0	200.0	200.0	0.0	1200	36145
1759531353.5000992	31	200.0	0.0	200.0	200.0	200.0	0.0	1200	37345
1759531353.6608698	32	200.0	0.0	200.0	200.0	200.0	0.0	1200	38545
1759531353.811552	33	200.0	0.0	200.0	200.0	200.0	0.0	1200	39745
1759531353.9603899	34	200.0	0.0	200.0	200.0	200.0	0.0	1200	40945
1759531354.110473	35	200.0	0.0	200.0	200.0	200.0	0.0	1200	42145
1759531354.2828438	36	200.0	0.0	200.0	200.0	200.0	0.0	1200	43345
1759531354.442434	37	200.0	0.0	200.0	200.0	200.0	0.0	1200	44545
1759531354.610817	38	200.0	0.0	200.0	200.0	200.0	0.0	1200	45745
1759531354.802755	39	200.0	0.0	200.0	200.0	200.0	0.0	1200	46945
1759531355.0166779	40	200.0	0.0	200.0	200.0	200.0	0.0	1200	48145
1759531355.1942852	41	200.0	0.0	200.0	200.0	200.0	0.0	1200	49345
1759531355.430646	42	200.0	0.0	200.0	200.0	200.0	0.0	1200	50545
1759531355.687114	43	200.0	0.0	200.0	200.0	200.0	0.0	1200	51745
1759531355.889693	44	200.0	0.0	200.0	200.0	200.0	0.0	1200	52945
1759531356.081117	45	200.0	0.0	200.0	200.0	200.0	0.0	1200	54145
1759531356.57853	46	200.0	0.0	200.0	200.0	200.0	0.0	1200	55345
1759531356.960232	47	200.0	0.0	200.0	200.0	200.0	0.0	1200	56545
1759531357.242665	48	200.0	0.0	200.0	200.0	200.0	0.0	1200	57745
1759531357.630332	49	200.0	0.0	200.0	200.0	200.0	0.0	1200	58945
1759531357.938776	50	200.0	0.0	200.0	200.0	200.0	0.0	1200	60145
1759531358.220063	51	200.0	0.0	200.0	200.0	200.0	0.0	1200	61345
1759531358.469075	52	200.0	0.0	200.0	200.0	200.0	0.0	1200	62545
1759531358.751668	53	200.0	0.0	200.0	200.0	200.0	0.0	1200	63745
1759531358.993911	54	200.0	0.0	200.0	200.0	200.0	0.0	1200	64945
1759531359.1964538	55	200.0	0.0	200.0	200.0	200.0	0.0	1200	66145
1759531359.82081	56	200.0	0.0	200.0	200.0	200.0	0.0	1200	67345
1759531361.148275	57	200.0	0.0	200.0	200.0	200.0	0.0	1200	68545
1759531361.5825129	58	200.0	0.0	200.0	200.0	200.0	0.0	1200	69745
1759531361.9155798	59	200.0	0.0	200.0	200.0	200.0	0.0	1200	70945
1759531362.319121	60	200.0	0.0	200.0	200.0	200.0	0.0	1200	72145
1759531362.8003042	61	200.0	0.0	200.0	200.0	200.0	0.0	1200	73345
1759531363.327956	62	200.0	0.0	200.0	200.0	200.0	0.0	1200	74545
1759531363.80196	63	200.0	0.0	200.0	200.0	200.0	0.0	1200	75745
