Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
1759531635.478241	0	-278.7156	110.56325	-119.75073	-588.5678	92.21818181818182	18.404239540330135	5072	5072
1759531645.626987	1	-340.64453	80.79745	-98.40563	-549.23914	71.33802816901408	14.399671027122366	5065	10137
1759531652.4753	2	-191.72778	63.86929	-54.98461	-385.38297	77.04545454545455	15.642242552336148	5085	15222
1759531657.5037382	3	-191.64713	40.295753	-89.73755	-286.13806	83.45901639344262	18.71404642130471	5091	20313
1759531662.537781	4	-179.09033	31.301874	-127.896835	-282.45734	77.13846153846154	16.586256519342868	5014	25327
1759531668.9641652	5	-173.65736	31.306616	-126.65547	-298.2341	87.51724137931035	25.44042491736761	5076	30403
1759531675.347643	6	-203.39304	103.480446	-122.544044	-653.184	102.16326530612245	42.33218823503396	5006	35409
1759531679.204027	7	-168.97029	23.669758	-114.52328	-236.39871	81.66129032258064	22.657295021469494	5063	40472
1759531684.0883179	8	-168.78886	36.765697	-58.29586	-263.76627	87.67241379310344	22.369458806083152	5085	45557
1759531687.966581	9	-173.79259	38.138725	-53.97811	-294.67307	81.70967741935483	21.492974918881835	5066	50623
1759531691.1929128	10	-173.21947	58.405266	-44.556152	-388.28766	83.81666666666666	18.143402535234554	5029	55652
1759531694.4326231	11	-148.55609	52.67361	-42.322155	-261.26202	85.16949152542372	17.87447051947618	5025	60677
1759531698.2758248	12	-134.92776	43.51448	-52.882114	-219.97604	83.81666666666666	17.498087197049728	5029	65706
1759531701.521615	13	-118.4126	44.716732	-48.058926	-203.79016	88.29824561403508	17.636649353856924	5033	70739
1759531705.0757241	14	-115.57473	43.91188	-49.66229	-193.53668	90.42857142857143	19.215746094262997	5064	75803
1759531710.918746	15	-101.037	45.69242	-4.0224075	-179.31985	87.74137931034483	15.061437794657273	5089	80892
1759531716.0854	16	-100.55144	48.95618	-17.757378	-175.78317	86.48275862068965	15.680254857304197	5016	85908
1759531720.5278971	17	-94.088295	48.583202	-16.0141	-192.9432	84.33333333333333	15.699964614255945	5060	90968
1759531724.738061	18	-89.23281	44.965725	-6.755127	-184.26196	82.21311475409836	12.9426411196002	5015	95983
1759531729.3041961	19	-79.54173	41.611294	-7.3831863	-155.22906	89.42105263157895	16.818898485346413	5097	101080
1759531736.693869	20	-60.89181	41.3231	30.460293	-140.91808	120.02380952380952	138.61465738741478	5041	106121
1759531753.095009	21	-45.23508	39.982067	22.836018	-118.09481	221.2173913043478	302.0588708127489	5088	111209
1759531786.38709	22	-27.907488	48.22503	37.805992	-165.9274	418.84615384615387	399.1556176487959	5445	116654
1759531806.041047	23	-7.818129	50.151882	73.55777	-70.688324	519.4545454545455	438.90822474871226	5714	122368
1759531823.474508	24	46.179844	44.322227	94.57929	-19.18371	764.8571428571429	371.79388628318117	5354	127722
1759531842.055466	25	25.807747	113.52094	220.34076	-81.66751	324.3888888888889	287.4868381313577	5839	133561
1759531861.791563	26	41.23806	131.51976	251.73041	-98.92029	223.1304347826087	115.77350614841859	5132	138693
1759531874.9047081	27	20.836296	108.75703	233.16415	-97.4185	209.8	176.4394513707181	5245	143938
1759531889.738323	28	21.263697	104.45506	235.20692	-73.959656	302.94117647058823	278.86375981793043	5150	149088
1759531904.456919	29	94.7898	122.559105	230.51816	-83.617004	327.875	185.0148220413705	5246	154334
1759531922.670849	30	171.58617	71.61681	249.36588	-19.91615	481.45454545454544	228.77077198738147	5296	159630
1759531938.5417411	31	137.3976	103.81487	233.95615	-66.37857	490.54545454545456	149.60515525655805	5396	165026
1759531955.496471	32	-20.22603	117.055885	161.36623	-137.04135	542.2	182.30074053607134	5422	170448
1759531975.203338	33	2.4200788	153.76546	179.9227	-267.58948	806.1428571428571	198.4032175512632	5643	176091
1759531993.7618	34	-17.698767	126.05843	189.54031	-141.3816	573.5555555555555	309.74832475956674	5162	181253
1759532005.3256059	35	5.5935845	128.17241	188.62418	-212.77275	471.6666666666667	246.16130664442147	5660	186913
1759532022.7351942	36	-42.793385	101.3489	145.20682	-124.227036	640.125	318.4726980056532	5121	192034
1759532046.56828	37	-47.653954	114.436775	153.6664	-173.8184	636.5	287.2485857232373	5092	197126
1759532071.9165099	38	-46.015045	97.131996	120.747665	-146.95166	782.5714285714286	208.9988770597701	5478	202604
1759532102.501048	39	-100.96468	15.585663	-83.08835	-126.37155	1000.0	0.0	6000	208604
1759532123.498801	40	-99.48801	23.083221	-57.627625	-125.49754	1000.0	0.0	6000	214604
1759532147.594411	41	-118.10675	10.692102	-99.127945	-135.37971	1000.0	0.0	6000	220604
1759532171.451319	42	-147.27531	39.328953	-116.34824	-233.24406	986.8333333333334	29.441561703747233	5921	226525
1759532198.722066	43	-134.6125	22.172997	-106.338646	-172.91385	1000.0	0.0	6000	232525
1759532237.188032	44	-86.18189	126.25293	172.90341	-273.52722	804.4285714285714	240.44355271209983	5631	238156
1759532263.969512	45	-54.504654	127.166336	195.21	-189.71669	608.1111111111111	270.0166432913368	5473	243629
1759532273.6672971	46	-25.618778	113.4285	190.1733	-114.71792	295.88235294117646	79.52275468135348	5030	248659
