run_id,seed,setting,epoch,train_loss,val_loss,timestamp
run-001,42,baseline,0,0.245,0.242,2025-12-18T12:00:00
run-001,42,baseline,1,0.120,0.118,2025-12-18T12:00:10
run-001,42,baseline,2,0.075,0.073,2025-12-18T12:00:20
run-001,42,baseline,3,0.049,0.048,2025-12-18T12:00:30
run-001,42,baseline,4,0.034,0.035,2025-12-18T12:00:40

run-002,43,baseline,0,0.258,0.256,2025-12-18T12:01:00
run-002,43,baseline,1,0.130,0.128,2025-12-18T12:01:10
run-002,43,baseline,2,0.082,0.081,2025-12-18T12:01:20
run-002,43,baseline,3,0.052,0.051,2025-12-18T12:01:30
run-002,43,baseline,4,0.038,0.037,2025-12-18T12:01:40

run-003,44,baseline,0,0.230,0.225,2025-12-18T12:02:00
run-003,44,baseline,1,0.115,0.114,2025-12-18T12:02:10
run-003,44,baseline,2,0.070,0.071,2025-12-18T12:02:20
run-003,44,baseline,3,0.045,0.046,2025-12-18T12:02:30
run-003,44,baseline,4,0.030,0.031,2025-12-18T12:02:40
