algo,avg_cost,avg_lambda,avg_reward,avg_risk,block_rate,checkpoint,kd,ki,kp,scenario,seed,success_rate
sac_lag,0.94,9.608475,-436.0590039265391,0.9531128758192062,0.95,,0.05,0.08,0.4,perturbed,0,0.0
sac_lag,0.95,9.572799999999999,-185.45444665616344,0.8591093936935067,0.945,,0.08,0.08,0.4,perturbed,0,0.0
sac_lag,0.96,9.482999999999999,-166.57616876217324,0.9549622528254986,0.9825,projects/amasa_clean/results/pid_smoke/pid_kp0.4_kd0.1/checkpoints/sac_lag_final.pt,0.1,0.08,0.4,perturbed,0,0.0
sac_lag,0.835,9.03,-131.82072057734538,0.8077106916159391,0.7925,,0.12,0.08,0.4,perturbed,0,0.0
sac_lag,0.9716666666666667,9.607925,-186.8075344892122,0.7822840393986553,0.8175,projects/amasa_clean/results/pid_smoke/pid_kp0.5_kd0.05/checkpoints/sac_lag_final.pt,0.05,0.08,0.5,perturbed,0,0.0
sac_lag,0.7466666666666666,7.647349999999999,-205.969194797669,0.7393308395433996,0.9275,projects/amasa_clean/results/pid_smoke/pid_kp0.5_kd0.08/checkpoints/sac_lag_final.pt,0.08,0.08,0.5,perturbed,0,0.0
sac_lag,0.7783333333333333,9.696800000000001,-99.11099831476159,0.8738159224390983,0.8375,projects/amasa_clean/results/pid_smoke/pid_kp0.5_kd0.1/checkpoints/sac_lag_final.pt,0.1,0.08,0.5,perturbed,0,0.0
sac_lag,0.92,9.55935,-178.70423928705696,0.9425498181581498,0.9825,projects/amasa_clean/results/pid_smoke/pid_kp0.5_kd0.12/checkpoints/sac_lag_final.pt,0.12,0.08,0.5,perturbed,0,0.0
sac_lag,0.9216666666666666,8.032,-197.54410862108176,0.8012760713565512,0.9825,,0.05,0.08,0.55,perturbed,0,0.0
sac_lag,0.95,9.35195,-242.88530037177145,0.7980775883898604,0.9075,,0.08,0.08,0.55,perturbed,0,0.0
sac_lag,0.6983333333333334,9.739675,412.69590898976014,0.7432551898132078,0.915,projects/amasa_clean/results/pid_smoke/pid_kp0.55_kd0.1/checkpoints/sac_lag_final.pt,0.1,0.08,0.55,perturbed,0,0.0
sac_lag,0.9033333333333333,9.3156,-152.1223413866153,0.8868491858243942,0.8825,,0.12,0.08,0.55,perturbed,0,0.0
sac_lag,0.77,9.431875,332.6542089472531,0.895659641996026,0.9475,projects/amasa_clean/results/pid_smoke/pid_kp0.6_kd0.05/checkpoints/sac_lag_final.pt,0.05,0.08,0.6,perturbed,0,0.0
sac_lag,0.685,8.9156,419.65258875375713,0.6590434884466231,0.76,projects/amasa_clean/results/pid_smoke/pid_kp0.6_kd0.08/checkpoints/sac_lag_final.pt,0.08,0.08,0.6,perturbed,0,0.0
sac_lag,0.9433333333333334,9.17,-162.7091141585535,0.882804276496172,0.9775,projects/amasa_clean/results/pid_smoke/pid_kp0.6_kd0.1/checkpoints/sac_lag_final.pt,0.1,0.08,0.6,perturbed,0,0.0
sac_lag,0.8516666666666667,8.296899999999999,-131.54029822611406,0.7753693733178079,0.9225,projects/amasa_clean/results/pid_smoke/pid_kp0.6_kd0.12/checkpoints/sac_lag_final.pt,0.12,0.08,0.6,perturbed,0,0.0
sac_lag,0.78,7.6579999999999995,-154.92749706598977,0.8133815505600068,0.9725,,0.05,0.08,0.7,perturbed,0,0.0
sac_lag,0.9166666666666666,9.42835,-159.97425014177333,0.8253198133036495,0.925,,0.08,0.08,0.7,perturbed,0,0.0
sac_lag,0.8483333333333334,8.8933,363.7921943329051,0.8665755663625896,0.93,projects/amasa_clean/results/pid_smoke/pid_kp0.7_kd0.1/checkpoints/sac_lag_final.pt,0.1,0.08,0.7,perturbed,0,0.0
sac_lag,0.8400000000000001,9.29675,-202.95716172988,0.8213117564655841,0.9225,,0.12,0.08,0.7,perturbed,0,0.0
